target_name,feature_set,model,held_out_kernel_id,n_train_rows,n_test_rows,train_s,predict_s,predict_per_row_ms,n_features
energy_ratio,launch,xgboost,myocyte::solver2,1640,26,0.8905936561059207,0.0032493919134140015,0.12497661205438466,19
energy_ratio,launch,xgboost,nn::euclid,1640,26,0.6409184329677373,0.0031428118236362934,0.12087737783216514,19
energy_ratio,launch,xgboost,nw::shared1,1641,25,0.6441043140366673,0.019252090947702527,0.7700836379081011,19
energy_ratio,launch,xgboost,nw::shared2,1641,25,1.2620975121390074,0.003241107100620866,0.12964428402483463,19
energy_ratio,launch,xgboost,particlefilter::findindex,1640,26,0.6436506460886449,0.0030704159289598465,0.11809292034460947,19
energy_ratio,launch,xgboost,particlefilter::likelihood,1641,25,1.0307222190313041,0.0076429289765655994,0.305717159062624,19
energy_ratio,launch,xgboost,particlefilter::normalizeweights,1641,25,0.6347796570044011,0.0031473608687520027,0.1258944347500801,19
energy_ratio,launch,xgboost,particlefilter::sum,1641,25,0.6326267179101706,0.0030904291197657585,0.12361716479063035,19
energy_ratio,launch,xgboost,pathfinder::dynproc,1640,26,1.0428948251064867,0.019396855030208826,0.7460328857772625,19
energy_ratio,launch,xgboost,preeuler3d::computeflux,1640,26,0.7209917458239943,0.003160043153911829,0.12154012130430111,19
energy_ratio,launch,xgboost,preeuler3d::computefluxcontributions,1641,25,0.6550396420061588,0.0031652371399104595,0.12660948559641838,19
energy_ratio,launch,xgboost,preeuler3d::computestepfactor,1640,26,1.0274464329704642,0.003279837081208825,0.12614758004649326,19
energy_ratio,launch,xgboost,preeuler3d::timestep,1640,26,0.6512557240203023,0.0030725779943168163,0.11817607670449294,19
energy_ratio,launch,xgboost,sradv1::compress,1640,26,0.7347513311542571,0.019286422058939934,0.741785463805382,19
energy_ratio,launch,xgboost,sradv1::extract,1640,26,0.8303895660210401,0.003196501173079014,0.1229423528107313,19
energy_ratio,launch,xgboost,sradv1::prepare,1641,25,0.6642391509376466,0.0032771029509603977,0.1310841180384159,19
energy_ratio,launch,xgboost,sradv1::reduce,1640,26,0.8389895809814334,0.019306739093735814,0.7425668882206082,19
energy_ratio,launch,xgboost,sradv1::srad,1640,26,0.7357897879555821,0.003106691176071763,0.11948812215660627,19
energy_ratio,launch,xgboost,sradv1::srad2,1640,26,0.6457301990594715,0.0031592550221830606,0.12150980854550233,19
energy_ratio,launch,xgboost,streamcluster::computecost,1640,26,1.1598437731154263,0.006452643079683185,0.24817857998781476,19
energy_ratio,launch,xgboost,syr2k::syr2kkernel,1640,26,0.650524775031954,0.003180416999384761,0.12232373074556774,19
energy_ratio,launch,xgboost,syrk::syrkkernel,1641,25,0.6531483209691942,0.003147423965856433,0.12589695863425732,19
energy_ratio,runtime,random_forest,2dconv::convolution2dkernel,1640,26,1.1574701759964228,0.24738131207413971,9.514665849005373,162
energy_ratio,runtime,random_forest,2mm::mm2kernel1,1641,25,1.0794713019859046,0.2550058769993484,10.200235079973936,162
energy_ratio,runtime,random_forest,2mm::mm2kernel2,1640,26,1.0648932000622153,0.25199573393911123,9.69214361304274,162
